name,province,company,langue,date_naissance,agee,age_permis,numeropol
Mark Bradley,Saskatchewan,Underwood and Sons,en,1949-06-11,67,19,18305
Jeffery Collins,Manitoba,"Franco, Larsen and Lopez",en,1952-12-02,64,34,18313
Deanna Wallace,Prince Edward Island,Lin Inc,en,1990-11-20,26,26,18321
Angela Welch,New Brunswick,"Ortiz, Cordova and Flores",en,1949-01-29,68,26,18325
Amy Howard,New Brunswick,Aguilar Inc,en,1993-07-27,23,20,18326
Adam Lee,Nunavut,"Jimenez, Donaldson and Foster",en,1970-02-13,47,25,18333
Michael Medina,Alberta,Elliott-Evans,en,1953-03-21,64,24,18345
Nicole Buchanan,Manitoba,Peterson-Campbell,fr,1983-08-13,33,27,18375
Laurie Medina,New Brunswick,"Sanchez, Davis and Carter",fr,2000-02-04,17,17,18389
Jonathan Anderson,Yukon Territory,Russell-Brown,en,1960-05-13,57,21,18392
Michael Palmer,New Brunswick,Brown Ltd,en,1990-12-14,26,19,18396
Amanda Lopez,Northwest Territories,"Williamson, Williams and Brown",fr,1961-05-12,56,23,18401
Margaret Rivera,Newfoundland and Labrador,"Steele, Nguyen and Reed",fr,1999-05-31,18,18,18422
Craig Smith,Manitoba,Reed-Bauer,fr,1987-06-30,29,29,18430
John Miller,Yukon Territory,Fletcher-Molina,fr,1997-10-10,19,19,18436
Victoria Roberson,Yukon Territory,"Curtis, Becker and Wise",fr,1957-03-17,60,18,18437
Veronica Lyons,Nova Scotia,"Warner, Olson and Harris",en,1994-08-04,22,22,18454
Patrick Miller,Newfoundland and Labrador,Rivera Inc,en,1966-01-15,51,25,18456
Kelly Perez,New Brunswick,Banks PLC,en,1954-09-18,62,18,18461
Alexis Cox,Prince Edward Island,Mitchell-Richard,fr,1972-02-20,45,30,18463
Alexander Lin,Ontario,Ryan LLC,fr,1966-12-25,50,24,18466
Joanna Jones,Newfoundland and Labrador,Walker and Sons,en,1978-03-05,39,18,18482
Amber Mccoy,Newfoundland and Labrador,Zhang LLC,fr,1979-07-28,37,23,18490
Wayne Thomas,Quebec,Diaz Ltd,fr,1974-10-08,42,33,18492
Travis Rodriguez,Ontario,Owens-Conner,en,1956-11-12,60,19,18519
Heather Henderson,New Brunswick,Galvan LLC,en,1980-08-04,36,30,18526
Antonio Herrera,Alberta,Padilla-Hunt,fr,1984-07-04,32,22,18530
Thomas Lawrence,Nunavut,"Butler, Daniels and Hunt",fr,1953-08-14,63,32,18537
Emily Gray,Nova Scotia,"Thomas, Valdez and Prince",en,1966-03-20,51,30,18540
Sharon Bowen,Saskatchewan,"Bernard, Sherman and Jones",en,1953-08-26,63,30,18542
Andrew Smith,New Brunswick,"Hernandez, Webb and Sanchez",en,1955-01-17,62,19,18547
Erin Meza,British Columbia,Burns Group,fr,1959-11-17,57,27,18549
Kelly Coleman,New Brunswick,Evans Ltd,fr,1993-11-13,23,18,18576
Joseph Bennett,Yukon Territory,Miller-Gray,en,1974-06-09,42,18,18597
Dr. Luke Watkins,Newfoundland and Labrador,"Bass, Hayes and Pennington",fr,1978-10-15,38,29,18600
Brian Hart,New Brunswick,"Pruitt, Garcia and Wilcox",fr,1963-08-21,53,20,18609
Jeremy Conrad,Yukon Territory,Schmidt Ltd,fr,1948-03-15,69,26,18622
Joshua Brown,Ontario,"Franklin, Ballard and Parsons",fr,2000-03-19,17,17,18625
Linda Parker,New Brunswick,Garcia-Brown,en,1979-01-17,38,32,18641
Stuart Hernandez,Ontario,"Morton, Cross and Williams",fr,1968-04-24,49,24,18661
Deanna Kim,Northwest Territories,Munoz and Sons,fr,1977-06-04,39,20,18662
Denise Cook,Ontario,Snyder Inc,fr,1956-12-29,60,35,18670
Erin Coleman,Newfoundland and Labrador,"Bruce, Orozco and Smith",fr,1993-11-14,23,23,18675
Melissa Johnson,Quebec,Brown Ltd,fr,1959-11-19,57,30,18684
Erik Warner,Nova Scotia,Thomas-Collins,en,1982-02-05,35,22,18701
Mr. Christopher Hale,Prince Edward Island,Rodriguez Ltd,fr,1952-02-11,65,22,18706
John Wiley,Quebec,Ali-Haley,en,1970-09-08,46,25,18707
Rachel York,New Brunswick,Cortez-Ramirez,en,1956-04-09,61,27,18720
Christopher Brown,British Columbia,"Carter, Andrews and Roberts",fr,1953-12-26,63,29,18729
Angela Koch,British Columbia,Gallagher Ltd,fr,1956-12-14,60,33,18737
Michael Bennett,Quebec,"Smith, Harris and Yu",fr,1961-08-15,55,27,18749
Jessica Pierce,Quebec,Ortiz-Carr,fr,1986-08-01,30,28,18775
Carl Johnson,Yukon Territory,Robinson LLC,fr,1951-06-10,65,25,18784
Kelly Pierce,Nunavut,Solis-Nguyen,en,1963-09-28,53,28,18792
Devon Elliott,New Brunswick,Hernandez-Harper,en,1950-04-20,67,33,18799
Nicole Rodriguez,Manitoba,Walsh and Sons,fr,1948-11-03,68,24,18814
Kathy Stewart,Nunavut,"Green, Buck and Schmidt",fr,1997-12-14,19,19,18824
Chad Larson,Alberta,"Wright, Silva and West",en,1996-08-01,20,20,18834
Michele White,Northwest Territories,"White, Burnett and Baldwin",fr,1960-02-18,57,24,18837
Jordan Bowen,Nunavut,Lee-Garcia,fr,1975-10-22,41,17,18841
Phillip Johnson,Northwest Territories,Hansen-Hall,en,1982-04-20,35,18,18843
Brandi Reed,Newfoundland and Labrador,Thomas Ltd,fr,1995-02-11,22,22,18845
Antonio Mullen,Nunavut,Collins LLC,en,1945-07-31,71,34,18850
April Williams,Nova Scotia,Cunningham-Bennett,fr,1971-07-02,45,20,18859
Ashley Bradley,Ontario,Petersen Ltd,en,1962-04-08,55,25,18863
Jenna Wilson,New Brunswick,Choi-Hubbard,en,1975-02-01,42,35,18864
Kenneth Stewart,Yukon Territory,Washington LLC,fr,1950-08-18,66,23,18873
Amanda Hernandez,Ontario,Clarke Ltd,en,1995-12-07,21,21,18882
David Webb,Ontario,"Smith, Mccarty and Foster",fr,1969-07-22,47,19,18884
Carlos Davila,Nova Scotia,Barajas Inc,fr,1996-08-03,20,20,18895
Nicole Thomas,Saskatchewan,Jackson LLC,fr,1951-01-09,66,24,18903
Joshua Lester,Quebec,"Grant, Hernandez and Graves",fr,1973-01-19,44,27,18916
Ryan Thomas,Prince Edward Island,Nielsen-Mayo,en,1961-10-08,55,20,18939
Robert Thompson,Yukon Territory,Tate PLC,en,1970-03-06,47,18,18950
Jessica Mitchell,Ontario,Gutierrez-Hernandez,en,1968-08-04,48,28,18954
Bryce Watson,Saskatchewan,"Moore, Hernandez and Brown",en,1949-01-05,68,29,19000
Melinda Sexton,New Brunswick,Elliott-Guerrero,fr,1992-04-17,25,25,19003
Julia Jones,Northwest Territories,Jones-Lewis,fr,1982-11-01,34,24,19007
Jessica Butler,Quebec,"Allen, Jenkins and Ross",en,1959-01-26,58,32,19012
Lee Hernandez,Newfoundland and Labrador,Carter Group,en,1993-10-30,23,18,19025
Shelly Smith,Prince Edward Island,Murray PLC,en,1947-04-16,70,19,19036
Teresa Ramirez,Alberta,Hernandez-Flores,fr,1958-10-03,58,35,19061
Megan Conley,Manitoba,Perry and Sons,fr,1991-02-23,26,24,19062
Steven Ashley,Prince Edward Island,"Glenn, Valdez and Bates",fr,1996-09-04,20,20,19063
Janet Holmes,British Columbia,Adams-Rogers,en,1951-07-11,65,34,19065
Danielle Dixon,Ontario,"Morris, Davis and Stone",fr,1971-02-18,46,21,19068
Joseph Smith,New Brunswick,Jones-Rodriguez,fr,1963-02-28,54,19,19069
Edward Shea,New Brunswick,Lindsey Group,fr,1994-08-27,22,22,19105
Brett Robinson,Nova Scotia,Taylor-Morrison,en,1987-01-11,30,17,19113
Michael Roberts,Manitoba,Wade LLC,en,1941-04-25,76,26,19116
Shannon Jones,Newfoundland and Labrador,George LLC,fr,1992-07-27,24,24,19126
Eric Reyes,New Brunswick,Buckley Inc,fr,1944-03-12,73,22,19136
Christina Harper,Nunavut,"Johnson, Chang and Page",fr,1971-11-22,45,17,19137
Carlos James,Nunavut,"White, Foster and White",fr,1948-01-31,69,34,19140
Corey Hancock,New Brunswick,"Smith, Hamilton and Finley",fr,1964-10-21,52,22,19141
Becky Mullins,Quebec,Jennings Inc,fr,1990-09-01,26,26,19150
Crystal Ball,Manitoba,Orr-Bennett,fr,1968-11-28,48,29,19154
Justin Kelly,Saskatchewan,Johnson-Merritt,en,1951-11-28,65,25,19170
Brittany Brooks,New Brunswick,"Ramirez, Lewis and Duncan",fr,1967-03-31,50,23,19171
Tiffany Stone,New Brunswick,Neal Inc,en,1985-02-08,32,23,19173
Deborah Rose,British Columbia,Vaughn PLC,fr,1980-02-07,37,18,19176
Jesse Anderson,Manitoba,"Bennett, Young and Greer",en,1989-03-16,28,27,19182
Joseph Wallace,Yukon Territory,Carter and Sons,en,1957-12-20,59,35,19186
Joshua Miller,Nova Scotia,"Woodard, Bush and Solomon",en,1952-10-27,64,31,19191
Stacy Lee,New Brunswick,"Jackson, Thomas and Wright",en,1978-09-13,38,30,19193
Brenda Ryan,Ontario,"Anderson, Alexander and Eaton",fr,1973-05-09,44,19,19196
Brenda Wood,Alberta,Johnston Group,en,1967-11-05,49,19,19208
Nicholas Johnson,Ontario,Soto-Hill,en,1942-05-21,75,30,19214
Nicholas Henderson,Newfoundland and Labrador,Castro-Roberts,fr,1959-08-28,57,18,19232
Marcus Torres,Manitoba,Miller-Williams,en,1974-02-14,43,29,19240
Timothy Coleman,New Brunswick,"Anderson, Jones and Hanson",en,1958-10-20,58,35,19253
Laura Velasquez,Alberta,Brooks PLC,fr,1943-09-30,73,34,19263
Julie Johnson,Saskatchewan,"Pope, Rodriguez and Landry",fr,1990-08-06,26,26,19268
Marcus Hardy,Prince Edward Island,"Watson, Burke and Huffman",fr,1973-11-21,43,29,19306
Amanda Martin PhD,Saskatchewan,Wilson LLC,en,1949-03-26,68,19,19316
Anne Welch,Manitoba,"Miles, Hill and Hernandez",en,1971-07-10,45,20,19317
Christina Martin,Saskatchewan,Fitzgerald and Sons,en,1994-07-14,22,18,19319
Carl Clark,Alberta,Jones-Weber,fr,1952-06-23,64,33,19333
Martin Matthews,British Columbia,Brady-Cervantes,fr,1978-01-28,39,32,19339
Tracey Brown,Manitoba,"Smith, Hunt and Patrick",en,1966-10-12,50,34,19344
Cynthia Davis,Nunavut,Lindsey Ltd,fr,1944-11-30,72,19,19363
Joshua Murphy,Northwest Territories,Evans Group,fr,1958-07-10,58,22,19373
Timothy Henderson,Quebec,Morris-Rodgers,en,1955-06-02,62,33,19395
Lisa Clark,Alberta,Pacheco Ltd,en,1983-01-02,34,34,19415
Michael Cruz,Ontario,Cox-Ferguson,en,1975-12-19,41,26,19417
Dana Young,New Brunswick,Thompson Group,fr,1941-08-04,75,20,19430
James Cisneros,Newfoundland and Labrador,"Hancock, Hansen and Juarez",fr,1953-01-23,64,24,19437
Jacqueline Rodriguez,Saskatchewan,Moore Ltd,en,1969-11-12,47,19,19460
Ryan Collins,British Columbia,Flores LLC,fr,1967-04-21,50,30,19471
Danielle Martin,Prince Edward Island,"Shannon, Miller and Eaton",fr,1970-01-06,47,17,19483
Donald Frank,Ontario,"Perez, Cervantes and Miller",en,1980-01-18,37,30,19493
Diana Gates,Newfoundland and Labrador,Chapman Ltd,en,1958-01-08,59,34,19513
Andrew Thomas,New Brunswick,Marshall PLC,en,1954-03-30,63,26,19526
Micheal Blevins,Saskatchewan,Maynard-Yang,en,1963-02-11,54,25,19531
Dawn Frazier,New Brunswick,Morales-Gibson,en,1984-11-18,32,26,19542
Melissa Horn,Nova Scotia,Neal LLC,en,1965-03-28,52,25,19547
Hannah Park,Northwest Territories,Santos-Schmitt,en,1964-10-20,52,19,19565
Alexis Griffin,Prince Edward Island,"Robinson, Dickerson and Lin",fr,2000-04-19,17,17,19571
Michael Rice,Prince Edward Island,Knapp Ltd,fr,1973-10-01,43,32,19580
Alexander Whitehead,New Brunswick,"Pena, Miller and Espinoza",fr,1983-02-02,34,30,19595
Richard Eaton,Northwest Territories,Thompson and Sons,fr,1976-06-29,40,18,19598
Bonnie Gray,Northwest Territories,Williams PLC,en,1954-06-04,62,35,19606
Kim Kidd,New Brunswick,Guerrero PLC,en,1965-07-12,51,35,19608
Miguel Landry,Quebec,Nguyen LLC,en,1980-02-15,37,23,19610
Isaiah Davis,Alberta,Baker-Bryant,en,1998-01-13,19,19,19626
Anthony Morton,Ontario,Johnson-Johnson,fr,1946-05-29,71,21,19630
Michael Donovan,Newfoundland and Labrador,Perez-Williams,en,1951-10-28,65,20,19641
Jeremy Wagner,Nunavut,"Duran, Wells and Wright",fr,1981-12-07,35,29,19644
James Spencer,Newfoundland and Labrador,Gonzales-Rose,fr,1995-05-04,22,20,19653
Scott Arnold,Newfoundland and Labrador,Zimmerman PLC,fr,1962-01-01,55,33,19656
Casey Wilkinson,Quebec,Pena PLC,fr,1947-10-05,69,35,19657
Jose Shepard,Newfoundland and Labrador,Maddox-Hampton,fr,1967-09-28,49,17,19671
Frank Dickson,New Brunswick,Thomas-Lozano,fr,1968-04-26,49,21,19692
Tina Underwood,Alberta,Ramirez Ltd,en,1953-04-04,64,26,19703
Deborah Palmer,Manitoba,Perry Inc,en,1980-07-24,36,25,19715
Shannon Walsh,New Brunswick,Byrd Inc,en,1988-06-15,28,23,19745
Joseph Walsh,Nunavut,Kennedy Ltd,fr,1989-06-27,27,20,19764
Frederick Young,Prince Edward Island,Mitchell-Edwards,fr,1993-05-07,24,24,19767
Mark Reed,New Brunswick,"Everett, Hudson and Hawkins",fr,1977-02-28,40,26,19778
Kaitlin Spears,New Brunswick,Warren-Burke,en,1962-11-19,54,20,19819
Rita Barajas,British Columbia,Chaney-Martinez,fr,1982-04-30,35,32,19826
Aaron Taylor,Newfoundland and Labrador,"Johnson, Hancock and Harding",en,1960-01-25,57,19,19835
Courtney Oliver,Newfoundland and Labrador,Hamilton-Carrillo,en,1948-05-11,69,18,19836
John Estes,Saskatchewan,Brown PLC,en,1945-11-17,71,26,19847
Christopher Horton,New Brunswick,"Perry, Pena and Pitts",en,1975-02-23,42,24,19864
John Klein,Yukon Territory,Anderson LLC,fr,1979-06-17,37,29,19867
Austin Baker,New Brunswick,Mason Inc,fr,1943-09-10,73,33,19873
Jimmy Buck,Yukon Territory,"Fox, Hart and Smith",fr,1956-04-11,61,29,19875
Timothy Burnett,Nova Scotia,Huffman Ltd,en,1978-01-05,39,28,19878
Katherine Gardner,Ontario,Johnson LLC,en,1966-01-30,51,34,19890
Justin Shea,New Brunswick,Hunt Ltd,en,1973-11-01,43,19,19891
Jason Palmer,Nova Scotia,Foster-Brown,fr,1942-02-08,75,34,19893
Michael Taylor,Manitoba,French Ltd,fr,1946-05-09,71,24,19895
Heather Hudson,Manitoba,"Scott, Camacho and Moody",fr,1969-09-15,47,27,19902
Jonathan Baker,Manitoba,Evans-Taylor,fr,1979-09-01,37,17,19909
Patricia Moon,Alberta,"Kennedy, Dyer and Davis",fr,1950-01-08,67,24,19914
Anthony Newman,Quebec,Rose LLC,en,1954-09-05,62,19,19915
Alexandra Robbins,Yukon Territory,Thomas-Kelley,en,1971-04-15,46,18,19919
Michelle Mckinney,Northwest Territories,"Griffith, Page and Lopez",en,1950-06-20,66,31,19924
Denise Winters,Prince Edward Island,"Romero, Smith and George",en,1978-07-28,38,19,19925
Edward Sullivan,Nova Scotia,Daniel and Sons,en,1993-10-14,23,23,19929
James Chambers,New Brunswick,Hernandez Inc,en,1999-07-08,17,17,19936
Joshua Gibbs,Newfoundland and Labrador,Gonzalez PLC,fr,1998-11-19,18,18,19961
John Delgado,Manitoba,"Patterson, Knight and Vang",fr,1993-05-21,24,24,19997
Mrs. Robin Cooper,Nunavut,Nguyen-Wolfe,en,1973-02-09,44,33,20016
Richard Irwin,Alberta,Clark Group,en,1945-06-24,71,20,20019
William Ibarra,Newfoundland and Labrador,Sawyer-Ellis,fr,1954-03-03,63,33,20033
Jennifer Carson,New Brunswick,"Smith, Smith and Yoder",en,1996-09-18,20,20,20036
Marissa Allen,Nova Scotia,"Scott, Lloyd and Watson",en,1947-07-16,69,21,20045
Tyler Silva,British Columbia,Ayers PLC,fr,1985-12-15,31,31,20060
Cynthia Lewis,Yukon Territory,Allen Inc,en,1989-06-14,27,21,20068
Shelly Gomez,Quebec,"Barron, Robles and Sanchez",fr,1945-10-24,71,29,20073
Jason Oliver,Quebec,Huerta-Rios,fr,1987-12-28,29,29,20078
Billy Scott,New Brunswick,"Taylor, Gallagher and Logan",en,1996-08-31,20,19,20081
Randy Evans,Newfoundland and Labrador,Anderson Ltd,fr,1998-05-10,19,19,20093
John Lee,Nova Scotia,Thomas LLC,en,1982-11-09,34,33,20114
Peter Smith,British Columbia,"Robbins, Soto and Miller",en,1964-05-21,53,32,20115
Maria Gutierrez,New Brunswick,"Brandt, Curry and Martin",en,1946-08-31,70,34,20134
Joshua Harris,Manitoba,Fowler-Hall,en,1987-07-08,29,26,20143
David Dennis,Nova Scotia,Perez-Yu,fr,2000-02-05,17,17,20155
Joseph Hernandez,Newfoundland and Labrador,Wilson Inc,fr,1962-03-25,55,29,20163
James Jones,Alberta,Casey Inc,fr,1998-03-24,19,19,20167
Ariel Mullen,Nunavut,"Vaughn, Huffman and Steele",fr,1980-01-03,37,35,20177
Amy Rivas,Yukon Territory,"Palmer, Boyd and Ritter",en,1973-08-13,43,31,20188
Michelle Page,Newfoundland and Labrador,Harrison Ltd,en,1987-02-05,30,30,20199
James Carter,Prince Edward Island,Morris LLC,fr,1973-05-03,44,17,20205
Tracey Gibbs,Saskatchewan,"Marsh, Gentry and Thompson",fr,1958-12-21,58,29,20208
Caroline Deleon,Prince Edward Island,Fry-Castaneda,fr,1957-04-27,60,21,20228
Robert Tate,Newfoundland and Labrador,Mccall-Tyler,en,1953-01-05,64,35,20237
John Smith,British Columbia,Brewer-Maldonado,fr,1942-07-27,74,34,20241
Jenna Molina,Newfoundland and Labrador,"Lara, Vargas and Chang",fr,1969-08-15,47,18,20250
Tony Wiley,Newfoundland and Labrador,Sparks Group,fr,1942-03-21,75,24,20276
Shawn Baker,Ontario,Johns PLC,fr,1974-06-03,42,19,20277
Alyssa Johnson,Ontario,"Joseph, Serrano and Harris",en,1998-10-10,18,18,20278
Kyle Gross,Ontario,"Mitchell, Baker and Swanson",fr,1978-02-20,39,22,20302
Bill Smith,Newfoundland and Labrador,Wright LLC,fr,1978-11-25,38,34,20305
Elizabeth Bauer,Yukon Territory,Fox-Davis,fr,1973-07-11,43,20,20308
Roberta Weaver,Prince Edward Island,"Morris, Bean and Parrish",fr,1992-03-16,25,25,20332
Mary Moreno,Nova Scotia,Gray Group,fr,1962-11-11,54,28,20359
Roy Wallace,Quebec,Ponce Ltd,fr,1992-02-24,25,25,20371
Sheryl Anderson,Nova Scotia,Johnson PLC,en,1956-08-27,60,20,20375
Joseph Mcgee,New Brunswick,Lawson-Green,en,1979-06-27,37,28,20381
Christopher Herrera,British Columbia,"Smith, Matthews and Clark",fr,1942-03-25,75,24,20382
Kyle Montes,Manitoba,"Zimmerman, Trujillo and Torres",fr,1950-11-13,66,27,20396
Mr. Todd Franklin,Northwest Territories,"Lynn, Hansen and Sanders",fr,1979-10-29,37,20,20397
Derrick Watson,Alberta,Garcia-Jackson,fr,1974-04-02,43,22,20410
Terri Castillo,Nova Scotia,"Williams, Fields and Woods",fr,1957-07-01,59,31,20412
Tyler Brown,Nova Scotia,Davidson LLC,fr,1960-10-30,56,28,20414
Matthew Bird,Prince Edward Island,"Gross, Williams and Smith",fr,1942-09-23,74,35,20439
John Melendez,Northwest Territories,Quinn Ltd,en,1952-04-23,65,27,20440
Brittany Gamble,Northwest Territories,Fitzpatrick and Sons,fr,1988-12-23,28,20,20441
Nathaniel Allen,Saskatchewan,Johnson and Sons,en,1968-07-20,48,27,20448
William Reeves,Northwest Territories,"Holland, Lopez and Mayer",en,1975-07-30,41,23,20487
Mary Murphy,Manitoba,Espinoza LLC,fr,1950-03-14,67,31,20497
James Juarez,New Brunswick,Young Ltd,en,1947-11-08,69,21,20499
Margaret Mckinney,Manitoba,"Gomez, Long and Powell",en,1965-06-08,51,35,20504
Crystal Moore,Manitoba,"Jarvis, Foley and Miller",fr,1972-08-01,44,27,20525
Dennis Salinas,Quebec,Foster-Pineda,fr,1945-01-20,72,20,20528
Nathaniel Richards,Nunavut,"Pittman, Zhang and Sweeney",fr,1944-08-08,72,30,20529
Christopher White,New Brunswick,Rangel-Li,en,1994-03-16,23,18,20533
Anthony Larson,British Columbia,Jones-Hill,fr,1968-12-28,48,25,20535
Elizabeth Medina,Northwest Territories,Martinez-Wagner,fr,1985-02-06,32,32,20545
Mary Reyes,Northwest Territories,Gill-Kramer,fr,1988-01-24,29,20,20572
Philip Williams,Quebec,Crawford-Schroeder,fr,1987-06-03,29,23,20573
Kenneth King,Alberta,Dean Inc,fr,2000-09-05,16,16,20585
Sarah Larson,Alberta,"Wright, Conway and Clarke",en,1988-03-01,29,20,20586
Jessica Smith,Ontario,Oconnor PLC,en,1994-03-02,23,23,20589
Joshua Hensley,Northwest Territories,Bailey-Owen,en,1941-01-18,76,30,20596
Gary Hill,Quebec,"Thomas, Aguilar and Ray",fr,1975-03-25,42,32,20612
Nancy Morrison,Yukon Territory,Perry Ltd,en,1997-08-28,19,19,20658
Ricky Ferrell,Nunavut,"Jones, Davis and Butler",en,1994-07-09,22,22,20664
Leslie Cook,Nunavut,Johnson-Oliver,en,1979-03-12,38,25,20674
Michael Padilla,New Brunswick,Stone Inc,fr,1953-12-09,63,29,20685
Robert Pena,Northwest Territories,Nichols-Henderson,en,1990-07-12,26,26,20717
Kathy Myers,New Brunswick,Brown Inc,en,1983-11-30,33,24,20730
Leah Newman,Nunavut,Mullen-Haley,fr,1979-08-21,37,31,20739
Jacob Ford,Northwest Territories,Hancock-Smith,en,1961-05-20,56,19,20741
Dustin Ball,Yukon Territory,"Robinson, Kelly and Williams",fr,1955-08-03,61,20,20772
Daniel Young,British Columbia,Jones-Zamora,en,1993-11-23,23,22,20776
Andrea Montoya,Nova Scotia,"Phillips, Chase and Stout",fr,1952-11-25,64,23,20787
Thomas Walker,New Brunswick,Hernandez-Conrad,en,1977-12-11,39,23,20789
John Schultz,Alberta,"Sullivan, Jones and Berg",en,1999-07-31,17,17,20798
James Lopez,Newfoundland and Labrador,Osborne and Sons,fr,1969-12-11,47,32,20799
Brandi Berry,Yukon Territory,Robinson-Christian,en,1983-05-09,34,29,20811
Erika Wright,Nova Scotia,"Hoffman, Vargas and Noble",fr,1975-06-13,41,31,20834
Michael Brooks,Alberta,Dillon-Daugherty,fr,1987-06-03,29,17,20858
Natalie Wu,Nova Scotia,Lewis LLC,fr,1956-08-08,60,25,20859
Richard Stevenson,Nunavut,Vasquez-Sullivan,fr,1954-12-14,62,32,20864
Deborah Anderson,Saskatchewan,"George, Coleman and Wood",fr,1982-01-25,35,28,20865
Karen Foley,Northwest Territories,Santiago-Nunez,en,1981-11-20,35,25,20885
Matthew Solomon,Saskatchewan,Washington-Buck,en,1949-07-09,67,26,20890
Julie Savage,British Columbia,Ruiz Ltd,fr,1998-08-22,18,18,20897
Robert Allen,Alberta,Ramirez Inc,fr,1985-07-04,31,30,20902
Kimberly Castro,Prince Edward Island,"Johnson, Ryan and Harrison",en,1979-10-01,37,35,20926
Chelsea Smith,Newfoundland and Labrador,Stewart LLC,fr,1949-03-01,68,30,20928
Nicholas Simmons,Alberta,Williams-Kirk,en,1978-11-15,38,19,20980
Kimberly Graham,Alberta,"West, Wells and Cruz",fr,1958-02-09,59,20,20993
William Jenkins,Nunavut,Thomas LLC,fr,1954-12-13,62,22,20998
Christina White,New Brunswick,Fuentes-Baker,en,1959-02-25,58,19,21002
Nathan Chapman,Yukon Territory,"Duffy, Davidson and Adkins",en,1987-02-19,30,27,21024
Charles Manning,Alberta,"Davies, Yoder and Clarke",en,1998-08-18,18,18,21025
Samuel Harrell,New Brunswick,Lynch-Anderson,fr,1955-08-01,61,29,21038
Kayla Smith,Alberta,"Ramirez, Haynes and Alexander",fr,1959-12-14,57,25,21041
Aaron Shaffer,New Brunswick,"Norton, Vargas and Boyd",fr,1942-08-11,74,24,21052
Daniel Mueller,Manitoba,Pollard PLC,fr,1965-04-22,52,34,21067
Nathaniel Henry,Nunavut,"Marshall, Thompson and Hunt",fr,1965-11-19,51,27,21078
Keith Nguyen,Manitoba,Hale-Obrien,fr,1972-07-24,44,32,21081
Courtney Rivera,Alberta,Ross-Lewis,fr,1983-12-27,33,33,21086
Peter Bryant,New Brunswick,Craig-White,fr,1964-07-14,52,22,21092
Nicholas Schneider,Nova Scotia,"Schmidt, Holland and Murphy",fr,1953-11-22,63,29,21095
Angela Larson,Northwest Territories,"Holloway, Simon and Kerr",fr,1973-01-30,44,32,21102
Daniel Krause,Manitoba,Ryan-Nelson,en,1950-01-31,67,17,21104
Russell Manning,Nunavut,Hernandez-Pineda,en,1959-02-28,58,34,21125
Karen Schwartz,Yukon Territory,"Holmes, Rubio and Wilson",fr,1964-06-11,52,21,21153
Glenn Johnson,Nunavut,Parker-Clark,fr,1954-11-04,62,35,21158
Carolyn Johnson,Quebec,Lucas-Hernandez,en,1988-01-12,29,29,21160
James Cooper,Quebec,"Hunt, Coleman and Garcia",en,1993-11-14,23,23,21161
Antonio Stewart,Nunavut,"Williams, Webb and Levine",fr,1981-07-03,35,18,21164
Tony Mack,Saskatchewan,"Cooper, Chang and Wall",fr,1986-09-30,30,18,21167
Jessica Cook,New Brunswick,Weeks-Romero,en,1979-06-07,37,19,21171
Joseph Green,Northwest Territories,Munoz-Russell,en,1989-09-22,27,19,21173
Joseph Perkins,Quebec,Thompson Ltd,fr,1981-07-15,35,30,21176
Daniel Spencer,Quebec,Joseph LLC,en,1989-08-08,27,23,21184
Kristen Gonzalez,Ontario,Ramirez-Booth,en,1992-03-29,25,25,21190
Shawn Coleman,Yukon Territory,Brock-Smith,en,1993-08-06,23,23,21196
Stacey Lopez,New Brunswick,"Clark, Reeves and Robinson",en,1985-06-03,31,24,21198
Angelica Newman,Alberta,Gonzales-Bryant,en,1962-08-05,54,25,21203
Joshua Mitchell,Quebec,Smith-Moody,fr,1992-11-21,24,23,21205
Maria Whitehead,Prince Edward Island,James LLC,fr,1968-02-03,49,18,21214
Donna Schwartz,Nunavut,Fisher-Weber,fr,2000-03-01,17,17,21219
Donna Owens,New Brunswick,Cruz PLC,en,1989-05-18,28,26,21220
Matthew Dean,Saskatchewan,Stark-Williamson,en,1952-02-04,65,18,21224
Eric Sanchez,New Brunswick,Chase LLC,en,1948-01-12,69,31,21247
David Mckay,British Columbia,Walters-Martin,fr,1956-08-13,60,24,21259
Jennifer Thompson,Newfoundland and Labrador,May-Kemp,en,1950-10-16,66,17,21262
Joy Hansen,Saskatchewan,Wood-Gibson,en,1951-02-07,66,24,21268
Christopher Mitchell,Ontario,Baird-Briggs,en,1941-09-13,75,17,21283
Shane Moore,Alberta,"Huff, Farmer and Humphrey",en,1952-02-06,65,25,21287
Timothy Stewart,Manitoba,Baker Group,fr,1983-04-09,34,33,21301
Andrew Kelly,New Brunswick,Thomas and Sons,fr,1981-11-11,35,18,21302
Austin Cortez III,New Brunswick,Lang and Sons,en,1985-11-23,31,31,21304
Daniel Castro,Nova Scotia,Wilson LLC,fr,1946-11-14,70,17,21305
Mark Snyder,Prince Edward Island,Hunt-Fuentes,en,1981-05-14,36,33,21309
Crystal Green,New Brunswick,Hubbard LLC,en,1960-10-16,56,23,21312
Miss Patricia Collins,Saskatchewan,Robinson-White,en,1998-09-14,18,18,21315
Mary Cook,New Brunswick,Mcdowell-Brown,fr,1995-08-16,21,18,21319
Patricia Clark,Northwest Territories,Martin and Sons,en,1953-07-29,63,20,21323
Russell Simpson,Nova Scotia,Adkins Group,fr,1980-02-18,37,21,21325
